"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Cook County, IL"	"17031"	"2015"	"2015"	19	4989	3.8 (Unreliable)	2.3	5.9
"Total"	"Cook County, IL"	"17031"			325	79241	4.1	3.7	4.5
	"DuPage County, IL"	"17043"	"2000"	"2000"	11	1225	9.0 (Unreliable)	4.5	16.1
	"DuPage County, IL"	"17043"	"2001"	"2001"	13	1340	9.7 (Unreliable)	5.2	16.6
	"DuPage County, IL"	"17043"	"2008"	"2008"	13	1484	8.8 (Unreliable)	4.7	15.0
	"DuPage County, IL"	"17043"	"2010"	"2010"	10	1397	7.2 (Unreliable)	3.4	13.2
"Total"	"DuPage County, IL"	"17043"			123	23489	5.2	4.3	6.2
"Total"	"Kane County, IL"	"17089"			21	4666	4.5	2.8	6.9
"Total"	"Lake County, IL"	"17097"			33	10515	3.1	2.2	4.4
"Total"	"McLean County, IL"	"17113"			16	3086	5.2 (Unreliable)	3.0	8.4
"Total"	"Peoria County, IL"	"17143"			12	1881	6.4 (Unreliable)	3.3	11.1
"Total"	"Will County, IL"	"17197"			26	6544	4.0	2.6	5.8
"Total"	"Allen County, IN"	"18003"			12	3008	4.0 (Unreliable)	2.1	7.0
"Total"	"Hamilton County, IN"	"18057"			14	2986	4.7 (Unreliable)	2.6	7.9
"Total"	"Marion County, IN"	"18097"			36	6919	5.2	3.6	7.2
"Total"	"Tippecanoe County, IN"	"18157"			10	2398	4.2 (Unreliable)	2.0	7.7
"Total"	"Polk County, IA"	"19153"			23	4758	4.8	3.1	7.3
"Total"	"Johnson County, KS"	"20091"			20	6471	3.1	1.9	4.8
"Total"	"Sedgwick County, KS"	"20173"			38	5457	7.0	4.9	9.6
"Total"	"Wyandotte County, KS"	"20209"			11	1684	6.5 (Unreliable)	3.3	11.7
"Total"	"Fayette County, KY"	"21067"			12	2482	4.8 (Unreliable)	2.5	8.4
"Total"	"Jefferson County, KY"	"21111"			17	5265	3.2 (Unreliable)	1.9	5.2
"Total"	"East Baton Rouge Parish, LA"	"22033"			18	3204	5.6 (Unreliable)	3.3	8.9
"Total"	"Jefferson Parish, LA"	"22051"			29	4496	6.5	4.3	9.3
"Total"	"Orleans Parish, LA"	"22071"			17	2110	8.1 (Unreliable)	4.7	12.9
"Total"	"Anne Arundel County, MD"	"24003"			31	4750	6.5	4.4	9.3
"Total"	"Baltimore County, MD"	"24005"			43	10604	4.1	2.9	5.5
"Total"	"Howard County, MD"	"24027"			34	9618	3.5	2.4	4.9
	"Montgomery County, MD"	"24031"	"1999"	"1999"	10	1417	7.1 (Unreliable)	3.4	13.0
	"Montgomery County, MD"	"24031"	"2005"	"2005"	10	1892	5.3 (Unreliable)	2.5	9.7
	"Montgomery County, MD"	"24031"	"2007"	"2007"	10	1867	5.4 (Unreliable)	2.6	9.9
	"Montgomery County, MD"	"24031"	"2011"	"2011"	11	1948	5.6 (Unreliable)	2.8	10.1
